train_loss: 2.06885435183843,val_loss: 2.0418872276941937, val_perplexity: 7.7051368337099
train_loss: 2.064867949485779,val_loss: 2.0673601468404135, val_perplexity: 7.903930337571858
train_loss: 2.07487028837204,val_loss: 2.0840395212173464, val_perplexity: 8.036868531722913
train_loss: 2.082851755619049,val_loss: 2.057510507106781, val_perplexity: 7.826461617064774
train_loss: 2.0521843949953715,val_loss: 2.054853697617849, val_perplexity: 7.80569579720428
train_loss: 2.039184033870697,val_loss: 2.05367325146993, val_perplexity: 7.796487029964884
train_loss: 2.0804819186528523,val_loss: 2.0554614226023356, val_perplexity: 7.810440955291062
train_loss: 2.0781118631362916,val_loss: 2.0464747389157614, val_perplexity: 7.740565437824069
train_loss: 2.0354907075564066,val_loss: 2.0516082723935445, val_perplexity: 7.78040405859338
train_loss: 2.049538167317708,val_loss: 2.0402116696039836, val_perplexity: 7.692237239379783
train_loss: 2.048501670360565,val_loss: 2.0402796427408854, val_perplexity: 7.692760122645542
train_loss: 2.0485381205876667,val_loss: 2.0604145089785257, val_perplexity: 7.849222709381426
train_loss: 2.0666232307751975,val_loss: 2.0561461170514423, val_perplexity: 7.815790552068842
train_loss: 2.060225721200307,val_loss: 2.0491246938705445, val_perplexity: 7.761104789718124
train_loss: 2.0574435194333396,val_loss: 2.038624556859334, val_perplexity: 7.680038474590479
train_loss: 2.0506547848383585,val_loss: 2.0397777438163756, val_perplexity: 7.688900103364267
train_loss: 2.0507609407107035,val_loss: 2.039042874177297, val_perplexity: 7.683251839743308
train_loss: 2.071374495824178,val_loss: 2.043537203470866, val_perplexity: 7.717860616921887
train_loss: 2.0622143427530926,val_loss: 2.032204294204712, val_perplexity: 7.630888556905418
train_loss: 2.034130342801412,val_loss: 2.0315210421880088, val_perplexity: 7.625676517680595
train_loss: 2.0484673659006756,val_loss: 2.061658736069997, val_perplexity: 7.858995003139041
train_loss: 2.032263819376628,val_loss: 2.0609725673993426, val_perplexity: 7.853604256677234
train_loss: 2.042681554953257,val_loss: 2.036021089553833, val_perplexity: 7.66006975075578
train_loss: 2.0342991868654887,val_loss: 2.038834337393443, val_perplexity: 7.681649766166549
train_loss: 2.0306141058603924,val_loss: 2.0304597775141398, val_perplexity: 7.617587949393089
train_loss: 2.045568279425303,val_loss: 2.0389888683954873, val_perplexity: 7.682836910925241
train_loss: 2.080498456954956,val_loss: 2.052312072118123, val_perplexity: 7.785881832228606
train_loss: 2.007760230700175,val_loss: 2.027105530103048, val_perplexity: 7.592079479510864
train_loss: 2.053857445716858,val_loss: 2.038219428062439, val_perplexity: 7.676927700017887
train_loss: 2.060598071416219,val_loss: 2.033728325366974, val_perplexity: 7.64252713538732
train_loss: 2.027452528476715,val_loss: 2.0539159019788107, val_perplexity: 7.798379081054482
train_loss: 2.0207964261372884,val_loss: 2.03238746325175, val_perplexity: 7.632286427509844
train_loss: 2.021037518978119,val_loss: 2.0328806122144063, val_perplexity: 7.636051209867227
train_loss: 2.024656621615092,val_loss: 2.0440500815709433, val_perplexity: 7.721819953853566
train_loss: 2.0453827063242596,val_loss: 2.03490860859553, val_perplexity: 7.651552807365854
train_loss: 2.03704016606013,val_loss: 2.0309716860453286, val_perplexity: 7.62148845591757
train_loss: 2.022426970799764,val_loss: 2.0485849738121034, val_perplexity: 7.756917095980259
train_loss: 2.048046318689982,val_loss: 2.024794888496399, val_perplexity: 7.574557156484904
train_loss: 2.0314153035481772,val_loss: 2.03574564854304, val_perplexity: 7.65796014395034
train_loss: 2.046856927871704,val_loss: 2.0185835043589275, val_perplexity: 7.527654488356186
train_loss: 2.040946936607361,val_loss: 2.0422606150309246, val_perplexity: 7.708014371416024
train_loss: 2.0263670404752094,val_loss: 2.0182522932688394, val_perplexity: 7.525161658556517
train_loss: 2.026641889413198,val_loss: 2.018015249570211, val_perplexity: 7.523378077805836
train_loss: 2.0196635921796164,val_loss: 2.019734787940979, val_perplexity: 7.536325944074484
train_loss: 2.034178650379181,val_loss: 2.0238407333691915, val_perplexity: 7.567333300825231
train_loss: 2.0408279379208882,val_loss: 2.017400924364726, val_perplexity: 7.518757696375942
train_loss: 2.0279431700706483,val_loss: 2.0290609995524087, val_perplexity: 7.606940083983783
train_loss: 2.033787993590037,val_loss: 2.0255967020988463, val_perplexity: 7.580632974956921
train_loss: 2.029906225204468,val_loss: 2.0277254223823546, val_perplexity: 7.596787209956222
train_loss: 2.0162665645281472,val_loss: 2.0361466805140176, val_perplexity: 7.661031846684868
train_loss: 2.0455424825350446,val_loss: 2.035749447345734, val_perplexity: 7.657989235085219
train_loss: 2.0265793561935426,val_loss: 2.0097671310106913, val_perplexity: 7.461579574496187
train_loss: 2.015055159727732,val_loss: 2.027560826142629, val_perplexity: 7.595536910247604
train_loss: 2.013201284408569,val_loss: 2.036068030198415, val_perplexity: 7.660429327806747
train_loss: 2.0340657432874045,val_loss: 2.0192773818969725, val_perplexity: 7.53287957129402
train_loss: 2.0302685499191284,val_loss: 2.0436256289482118, val_perplexity: 7.7185431026051425
train_loss: 2.008757674694061,val_loss: 2.0189670523007712, val_perplexity: 7.530542258505853
train_loss: 2.017148574193319,val_loss: 2.0176815470059712, val_perplexity: 7.520867926094852
train_loss: 2.025821562608083,val_loss: 2.017749381065369, val_perplexity: 7.521378114400349
train_loss: 1.9951976696650187,val_loss: 2.0269758105278015, val_perplexity: 7.591094702059382
train_loss: 2.0215667327245077,val_loss: 2.0228699684143066, val_perplexity: 7.559990763370501
train_loss: 2.0221633950869244,val_loss: 2.0190586765607197, val_perplexity: 7.531232270477734
train_loss: 2.0298123478889467,val_loss: 2.0164619207382204, val_perplexity: 7.511700869343832
train_loss: 2.041841979821523,val_loss: 2.0220507780710855, val_perplexity: 7.553800227901937
train_loss: 2.027743637561798,val_loss: 2.03065588871638, val_perplexity: 7.619081990218297
train_loss: 2.028605322043101,val_loss: 2.023072425524394, val_perplexity: 7.5615214922009795
train_loss: 2.0049699982007345,val_loss: 2.0087292353312174, val_perplexity: 7.453839250812862
train_loss: 2.0172958970069885,val_loss: 2.0083616177241006, val_perplexity: 7.451099591867932
train_loss: 2.014512825012207,val_loss: 2.019822533925374, val_perplexity: 7.536987255426454
train_loss: 2.012405188878377,val_loss: 2.01831978559494, val_perplexity: 7.525669566360884
train_loss: 2.015652139981588,val_loss: 2.019490869839986, val_perplexity: 7.534487921934291
train_loss: 2.0120528737703958,val_loss: 2.0008710622787476, val_perplexity: 7.3954952310093685
train_loss: 2.004062600930532,val_loss: 2.012534034252167, val_perplexity: 7.48225363157554
train_loss: 2.020859932899475,val_loss: 2.0072869062423706, val_perplexity: 7.443096111071728
train_loss: 2.016462481021881,val_loss: 1.9992881933848063, val_perplexity: 7.383798391376896
train_loss: 2.0075710733731587,val_loss: 2.0086705088615417, val_perplexity: 7.453401526001274
train_loss: 2.033553051948547,val_loss: 2.004318956534068, val_perplexity: 7.421038125827333
train_loss: 2.0134117166201273,val_loss: 2.0060396273930867, val_perplexity: 7.433818281942019
train_loss: 1.9987048943837484,val_loss: 2.023230016231537, val_perplexity: 7.562713211619498
train_loss: 2.0224369287490847,val_loss: 1.9972736438115437, val_perplexity: 7.368938336662614
train_loss: 2.0138398885726927,val_loss: 1.9926371177037556, val_perplexity: 7.334851145818546
train_loss: 1.9968629956245423,val_loss: 2.003361753622691, val_perplexity: 7.41393808515976
train_loss: 1.9949015140533448,val_loss: 1.9903798341751098, val_perplexity: 7.318312979829144
train_loss: 2.0152689536412556,val_loss: 2.0111678759257, val_perplexity: 7.472038667693764
train_loss: 2.000242280960083,val_loss: 2.0039945006370545, val_perplexity: 7.418630716815591
train_loss: 2.00569167137146,val_loss: 2.006793797016144, val_perplexity: 7.439426756478321
train_loss: 2.0470400492350262,val_loss: 1.9915664156277975, val_perplexity: 7.327001908317183
train_loss: 1.9868801752726237,val_loss: 2.015238968531291, val_perplexity: 7.5025200331940365
train_loss: 2.0034157077471417,val_loss: 2.0224972049395245, val_perplexity: 7.557173200119187
train_loss: 2.020121415456136,val_loss: 1.998149573802948, val_perplexity: 7.375395838503394
train_loss: 2.0134781122207643,val_loss: 1.9944295684496562, val_perplexity: 7.34801029526633
train_loss: 2.0167059858640033,val_loss: 2.015623354911804, val_perplexity: 7.505404454044855
train_loss: 2.018167193730672,val_loss: 2.009270385901133, val_perplexity: 7.457873991774223
train_loss: 1.9941489895184834,val_loss: 2.011889354387919, val_perplexity: 7.4774315278436685
train_loss: 2.010676868756612,val_loss: 2.018441597620646, val_perplexity: 7.526586339251403
train_loss: 2.012768618265788,val_loss: 1.9958608945210774, val_perplexity: 7.358535224480945
train_loss: 2.015410232543945,val_loss: 1.9929807980855305, val_perplexity: 7.3373724234926225
train_loss: 1.9992111921310425,val_loss: 1.9969823598861693, val_perplexity: 7.366792195961388
train_loss: 1.9842627724011739,val_loss: 2.004291752974192, val_perplexity: 7.420836249918221
train_loss: 1.9765679240226746,val_loss: 1.9771783669789633, val_perplexity: 7.222335427250594
train_loss: 2.0165814956029258,val_loss: 1.9988665541013082, val_perplexity: 7.380685748166101
train_loss: 1.9889467120170594,val_loss: 1.9963802576065064, val_perplexity: 7.362357968649544
train_loss: 1.9961919784545898,val_loss: 1.9731043497721354, val_perplexity: 7.1929713639105906
train_loss: 2.0101957162221273,val_loss: 1.9864090005556743, val_perplexity: 7.289310796141996
train_loss: 2.0172219196955363,val_loss: 1.9781991879145304, val_perplexity: 7.2297119028482095
train_loss: 2.0127653161684673,val_loss: 2.008436612288157, val_perplexity: 7.45165840478727
train_loss: 1.9815997838974,val_loss: 1.9849743843078613, val_perplexity: 7.278860930004627
train_loss: 1.9911315162976584,val_loss: 2.0200961669286093, val_perplexity: 7.5390499060762775
train_loss: 2.0017566800117494,val_loss: 1.9967878222465516, val_perplexity: 7.365359216984724
train_loss: 2.0205737113952638,val_loss: 2.0060970067977903, val_perplexity: 7.434244842247483
